Song,Quadrant
A002,Q4
A004,Q3
A011,Q1
A013,Q2
A014,Q1
A017,Q4
A018,Q3
A019,Q1
A020,Q2
A021,Q4
A022,Q1
A023,Q2
A024,Q1
A025,Q2
A028,Q2
A029,Q3
A030,Q4
A032,Q4
A034,Q3
A035,Q3
A038,Q3
A039,Q1
A042,Q1
A043,Q1
A045,Q3
A047,Q1
A048,Q3
A049,Q2
A050,Q1
A051,Q2
A052,Q2
A055,Q2
A058,Q4
A060,Q3
A061-66,Q3
A062-170,Q2
A063-90,Q4
A064-116,Q1
A066-140,Q4
A067-104,Q4
A068-167,Q2
A071-70,Q3
A073-143,Q3
A074-91,Q2
A077-122,Q1
A078-173,Q4
A080-92,Q2
A082-93,Q2
A084-75,Q3
A085-69,Q3
A086-123,Q1
A088-136,Q4
A091-95,Q2
A092-96,Q1
A096-68,Q3
A097-152,Q3
A098-154,Q4
A100-124,Q1
A101-111,Q1
A102-114,Q1
A103-99,Q2
A104-119,Q1
A105-117,Q1
A106-100,Q3
A107-115,Q1
A109-138,Q4
A111-141,Q4
A114-120,Q1
A115-84,Q1
A116-135,Q2
A117-76,Q3
A119-151,Q4
A120-168,Q4
A126-77,Q3
A127-133,Q2
A130-162,Q3
A131-101,Q2
A132-121,Q1
A136-97,Q2
A140-166,Q2
A141-139,Q4
A142-98,Q2
A143-72,Q3
A145-134,Q4
A146-118,Q1
A147-169,Q2
A150-132,Q2
A151-172,Q2
A152-108,Q1
A153-130,Q1
A159-164,Q2
A160-149,Q1
A162,Q1
A165,Q4
A166,Q1
A167,Q1
A168,Q4
A170,Q3
A171,Q3
A172,Q2
A176,Q2
A178,Q4
A179,Q4
A182,Q2
A183,Q2
A186,Q4
A187,Q1
A188,Q3
A190,Q4
A192,Q4
A193,Q2
A194,Q2
A195,Q3
A196,Q1
A198,Q4
MT0000004637,Q3
MT0000008995,Q3
MT0000010219,Q3
MT0000010844,Q4
MT0000011357,Q2
MT0000011975,Q2
MT0000022993,Q3
MT0000026571,Q4
MT0000027422,Q3
MT0000027476,Q3
MT0000030834,Q4
MT0000038502,Q2
MT0000040632,Q1
MT0000042939,Q2
MT0000043184,Q3
MT0000048600,Q4
MT0000060906,Q3
MT0000062500,Q3
MT0000063684,Q4
MT0000066236,Q2
MT0000074128,Q3
MT0000082188,Q3
MT0000086233,Q3
MT0000088320,Q3
MT0000089238,Q2
MT0000092637,Q3
MT0000093583,Q1
MT0000097008,Q4
MT0000097948,Q4
MT0000104363,Q1
MT0000105492,Q1
MT0000113311,Q1
MT0000117176,Q4
MT0000119987,Q1
MT0000123853,Q3
MT0000124779,Q3
MT0000135916,Q4
MT0000144160,Q4
MT0000146966,Q1
MT0000147182,Q4
MT0000151451,Q4
MT0000151529,Q3
MT0000153970,Q2
MT0000162219,Q3
MT0000169174,Q2
MT0000169836,Q2
MT0000171421,Q3
MT0000171852,Q3
MT0000174580,Q1
MT0000177878,Q4
MT0000185453,Q3
MT0000186467,Q2
MT0000192913,Q3
MT0000203193,Q4
MT0000203272,Q3
MT0000204016,Q1
MT0000222773,Q4
MT0000225806,Q1
MT0000231442,Q2
MT0000235880,Q4
MT0000245808,Q1
MT0000249842,Q1
MT0000252574,Q1
MT0000258223,Q4
MT0000258646,Q2
MT0000271970,Q2
MT0000277032,Q4
MT0000283043,Q2
MT0000287606,Q4
MT0000287921,Q2
MT0000289116,Q3
MT0000292000,Q4
MT0000293345,Q3
MT0000300896,Q3
MT0000302038,Q1
MT0000312152,Q3
MT0000315363,Q1
MT0000315392,Q3
MT0000320757,Q3
MT0000321394,Q2
MT0000321824,Q4
MT0000335310,Q4
MT0000336135,Q4
MT0000353361,Q3
MT0000364027,Q1
MT0000370694,Q4
MT0000380307,Q4
MT0000380971,Q3
MT0000381928,Q3
MT0000392975,Q1
MT0000400490,Q1
MT0000401186,Q1
MT0000401600,Q1
MT0000409922,Q4
MT0000413173,Q3
MT0000414517,Q1
MT0000419956,Q2
MT0000425270,Q2
MT0000426771,Q3
MT0000426880,Q1
MT0000436815,Q4
MT0000442827,Q1
MT0000447539,Q4
MT0000460480,Q4
MT0000463371,Q2
MT0000475876,Q1
MT0000483039,Q4
MT0000487439,Q3
MT0000497520,Q1
MT0000518591,Q1
MT0000522450,Q1
MT0000522938,Q2
MT0000523576,Q4
MT0000524741,Q4
MT0000526302,Q4
MT0000547065,Q3
MT0000550961,Q4
MT0000562195,Q2
MT0000567692,Q3
MT0000576231,Q2
MT0000581530,Q1
MT0000595581,Q4
MT0000603561,Q3
MT0000604234,Q2
MT0000615489,Q1
MT0000619767,Q3
MT0000631491,Q4
MT0000636335,Q4
MT0000638424,Q4
MT0000642549,Q2
MT0000643201,Q3
MT0000647818,Q4
MT0000664362,Q1
MT0000666429,Q2
MT0000672880,Q1
MT0000685324,Q3
MT0000685552,Q3
MT0000688115,Q3
MT0000688312,Q3
MT0000698081,Q4
MT0000704913,Q1
MT0000712316,Q1
MT0000716124,Q1
MT0000720686,Q3
MT0000721873,Q1
MT0000727738,Q3
MT0000732821,Q2
MT0000735056,Q2
MT0000741489,Q2
MT0000744293,Q2
MT0000746822,Q4
MT0000747666,Q3
MT0000754511,Q4
MT0000763275,Q3
MT0000764951,Q3
MT0000772749,Q1
MT0000773391,Q1
MT0000780401,Q3
MT0000789330,Q2
MT0000796526,Q3
MT0000805883,Q4
MT0000807741,Q1
MT0000808227,Q2
MT0000811092,Q4
MT0000811743,Q3
MT0000825920,Q4
MT0000834505,Q2
MT0000850050,Q3
MT0000850957,Q2
MT0000851865,Q1
MT0000852582,Q2
MT0000854722,Q1
MT0000857091,Q3
MT0000863543,Q1
MT0000886723,Q3
MT0000895003,Q2
MT0000895905,Q4
MT0000897883,Q1
MT0000900387,Q2
MT0000900995,Q4
MT0000906888,Q4
MT0000910270,Q2
MT0000913916,Q4
MT0000920227,Q4
MT0000927561,Q2
MT0000931402,Q3
MT0000934613,Q2
MT0000936370,Q1
MT0000941301,Q3
MT0000945118,Q4
MT0000948111,Q1
MT0000954088,Q1
MT0000956340,Q2
MT0000971834,Q2
MT0000972004,Q2
MT0000980148,Q4
MT0000982297,Q1
MT0001016068,Q3
MT0001026170,Q1
MT0001030436,Q3
MT0001035786,Q3
MT0001042055,Q4
MT0001043721,Q2
MT0001051344,Q4
MT0001052263,Q3
MT0001053268,Q1
MT0001057748,Q4
MT0001062700,Q3
MT0001062974,Q2
MT0001068364,Q3
MT0001082164,Q1
MT0001084055,Q4
MT0001084444,Q1
MT0001094338,Q4
MT0001098562,Q2
MT0001102610,Q3
MT0001108070,Q4
MT0001115644,Q3
MT0001116511,Q2
MT0001117815,Q1
MT0001144930,Q4
MT0001152664,Q3
MT0001157069,Q3
MT0001168323,Q4
MT0001193202,Q2
MT0001193331,Q1
MT0001194164,Q3
MT0001195535,Q4
MT0001202986,Q1
MT0001227219,Q4
MT0001230298,Q3
MT0001253889,Q3
MT0001256033,Q3
MT0001265984,Q3
MT0001266436,Q3
MT0001267997,Q4
MT0001276044,Q2
MT0001284282,Q1
MT0001284801,Q3
MT0001287647,Q2
MT0001292451,Q1
MT0001297031,Q3
MT0001298241,Q3
MT0001302466,Q3
MT0001305231,Q4
MT0001305550,Q3
MT0001309422,Q3
MT0001313815,Q4
MT0001318718,Q1
MT0001323755,Q4
MT0001323890,Q3
MT0001328889,Q2
MT0001335920,Q1
MT0001339839,Q3
MT0001340527,Q3
MT0001347462,Q4
MT0001353828,Q2
MT0001361436,Q2
MT0001368531,Q4
